stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19898,-37.820071,Blackburn Railway Station (Blackburn),145.150014,2,Lilydale
19899,-37.820428,Nunawading Railway Station (Nunawading),145.175237,2,Lilydale
19900,-37.818087,Mitcham Railway Station (Mitcham),145.192892,2,Lilydale
19901,-37.818835,Heatherdale Railway Station (Ringwood),145.21355,2,Lilydale
19902,-37.81566,Ringwood Railway Station (Ringwood),145.229474,2,Lilydale
19903,-37.822398,Auburn Railway Station (Hawthorn East),145.045844,1,Belgrave
19904,-37.821467,Glenferrie Railway Station (Hawthorn),145.036439,1,Belgrave
19905,-37.821826,Hawthorn Railway Station (Hawthorn),145.022899,1,Belgrave
19906,-37.82756,Burnley Railway Station (Burnley),145.007555,1,Belgrave
19907,-37.8264,East Richmond Railway Station (Richmond),144.997066,1,Belgrave
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Belgrave
19909,-37.834672,Heyington Railway Station (Toorak),145.022635,1,Glen Waverley
19910,-37.839929,Kooyong Railway Station (Kooyong),145.033552,1,Glen Waverley
19911,-37.849366,Tooronga Railway Station (Malvern),145.041734,1,Glen Waverley
19912,-37.853279,Gardiner Railway Station (Glen Iris),145.051655,1,Glen Waverley
19913,-37.949509,Springvale Railway Station (Springvale),145.153452,2,Pakenham
19914,-37.938491,Westall Railway Station (Clayton South),145.138833,2,Pakenham
19915,-37.924683,Clayton Railway Station (Clayton),145.120534,2,Pakenham
19916,-37.911017,Huntingdale Railway Station (Oakleigh),145.102364,"1,2",Pakenham
19917,-37.900372,Oakleigh Railway Station (Oakleigh),145.088308,"1,2",Pakenham
19918,-37.894881,Hughesdale Railway Station (Hughesdale),145.077635,"1,2",Pakenham
19919,-37.890198,Murrumbeena Railway Station (Murrumbeena),145.067375,1,Pakenham
19920,-37.886241,Carnegie Railway Station (Carnegie),145.058575,1,Pakenham
19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee
19922,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing),144.700955,2,Werribee
19923,-37.863694,Laverton Railway Station (Laverton),144.772617,"1,2",Werribee
19924,-37.866606,Aircraft Railway Station (Laverton),144.760809,2,Werribee
19925,-37.865163,Westona Railway Station (Altona),144.813494,"1,2",Werribee
19926,-37.867148,Altona Railway Station (Altona),144.829645,"1,2",Werribee
19927,-37.867842,Seaholme Railway Station (Seaholme),144.840958,1,Werribee
19928,-37.780621,Westgarth Railway Station (Northcote),144.999233,1,Hurstbridge
19929,-37.779187,Dennis Railway Station (Northcote),145.008242,1,Hurstbridge
19930,-37.779171,Fairfield Railway Station (Fairfield),145.016905,1,Hurstbridge
19931,-37.778394,Alphington Railway Station (Alphington),145.031255,1,Hurstbridge
19932,-37.774963,Darebin Railway Station (Ivanhoe),145.038476,1,Hurstbridge
19933,-37.768897,Ivanhoe Railway Station (Ivanhoe),145.045425,"1,2",Hurstbridge
19934,-37.763586,Eaglemont Railway Station (Eaglemont),145.053943,"1,2",Hurstbridge
19935,-37.757073,Heidelberg Railway Station (Heidelberg),145.060686,"1,2",Hurstbridge
19936,-37.742879,Rosanna Railway Station (Rosanna),145.06614,2,Hurstbridge
19937,-37.934353,Moorabbin Railway Station (Moorabbin),145.036738,2,Frankston
19938,-37.925149,Patterson Railway Station (Bentleigh),145.03547,2,Frankston
19939,-37.917425,Bentleigh Railway Station (Bentleigh),145.036995,"1,2",Frankston
19940,-37.910309,McKinnon Railway Station (Mckinnon),145.038299,"1,2",Frankston
19941,-37.903212,Ormond Railway Station (Ormond),145.039613,"1,2",Frankston
19942,-37.889719,Glenhuntly Railway Station (Glen Huntly),145.042223,1,Frankston
19943,-37.877459,Caulfield Railway Station (Caulfield East),145.042525,1,Frankston
19944,-37.866253,Malvern Railway Station (Malvern),145.029294,1,Frankston
19945,-37.856452,Armadale Railway Station (Armadale),145.019326,1,Frankston
19946,-37.850774,Toorak Railway Station (Armadale),145.013909,1,Frankston
19947,-37.844591,Hawksburn Railway Station (South Yarra),145.002142,1,Frankston
19948,-37.95033,Sandringham Railway Station (Sandringham),145.004561,2,Sandringham
19949,-37.937977,Hampton Railway Station (Hampton),145.001471,2,Sandringham
19950,-37.926484,Brighton Beach Railway Station (Brighton),144.989154,"1,2",Sandringham
19951,-37.915134,Middle Brighton Railway Station (Brighton),144.996299,"1,2",Sandringham
19952,-37.904887,North Brighton Railway Station (Brighton),145.002605,"1,2",Sandringham
19953,-37.896695,Gardenvale Railway Station (Brighton),145.004168,1,Sandringham
19954,-37.884753,Elsternwick Railway Station (Elsternwick),145.000898,1,Sandringham
19955,-37.875906,Ripponlea Railway Station (Ripponlea),144.995237,1,Sandringham
19956,-37.869488,Balaclava Railway Station (Balaclava),144.993512,1,Sandringham
19957,-37.856053,Windsor Railway Station (Windsor),144.992035,1,Sandringham
19958,-37.849518,Prahran Railway Station (Prahran),144.98986,1,Sandringham
19959,-37.838449,South Yarra Railway Station (South Yarra),144.992342,1,Frankston
19960,-37.666078,Upfield Railway Station (Coolaroo),144.94674,2,Upfield
19961,-37.700678,Gowrie Railway Station (Glenroy),144.958874,2,Upfield
19962,-37.714621,Fawkner Railway Station (Fawkner),144.960545,"1,2",Upfield
19963,-37.720934,Merlynston Railway Station (Coburg North),144.961314,"1,2",Upfield
19964,-37.733523,Batman Railway Station (Coburg North),144.962841,"1,2",Upfield
19965,-37.742345,Coburg Railway Station (Coburg),144.963336,1,Upfield
19966,-37.754485,Moreland Railway Station (Coburg),144.961823,1,Upfield
19967,-37.761242,Anstey Railway Station (Brunswick),144.960684,1,Upfield
19968,-37.767721,Brunswick Railway Station (Brunswick),144.959587,1,Upfield
19969,-37.774987,Jewell Railway Station (Brunswick),144.958717,1,Upfield
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Craigieburn
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Craigieburn
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Cranbourne
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Cranbourne
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Flemington
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Flemington
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Frankston
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Frankston
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Glen Waverley
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Glen Waverley
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Hurstbridge
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Hurstbridge
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Lilydale
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Lilydale
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Mernda
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Mernda
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Pakenham
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Pakenham
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Sandringham
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Sandringham
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Sunbury
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Sunbury
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Upfield
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Upfield
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Werribee
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Werribee
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Williamstown
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Williamstown
22180,-37.817936,Southern Cross Railway Station (Melbourne City),144.951411,1,Alamein
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Alamein
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Craigieburn
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Craigieburn
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Craigieburn
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Cranbourne
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Cranbourne
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Cranbourne
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Flemington
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Flemington
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Flemington
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Glen Waverley
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Glen Waverley
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Glen Waverley
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Hurstbridge
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Hurstbridge
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Hurstbridge
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Lilydale
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Lilydale
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Lilydale
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Mernda
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Mernda
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Mernda
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Pakenham
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Pakenham
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Pakenham
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Sunbury
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Sunbury
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Sunbury
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Upfield
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Upfield
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Upfield
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Alamein
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Alamein
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Alamein
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Cranbourne
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Frankston
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Glen Waverley
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Lilydale
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Pakenham
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Sandringham
19908,-37.824074,Richmond Railway Station (Richmond),144.990164,1,Alamein
19906,-37.82756,Burnley Railway Station (Burnley),145.007555,1,Glen Waverley
19907,-37.8264,East Richmond Railway Station (Richmond),144.997066,1,Glen Waverley
19906,-37.82756,Burnley Railway Station (Burnley),145.007555,1,Lilydale
19907,-37.8264,East Richmond Railway Station (Richmond),144.997066,1,Lilydale
19906,-37.82756,Burnley Railway Station (Burnley),145.007555,1,Alamein
19907,-37.8264,East Richmond Railway Station (Richmond),144.997066,1,Alamein
19853,-37.826567,Camberwell Railway Station (Camberwell),145.058697,1,Lilydale
19903,-37.822398,Auburn Railway Station (Hawthorn East),145.045844,1,Lilydale
19904,-37.821467,Glenferrie Railway Station (Hawthorn),145.036439,1,Lilydale
19905,-37.821826,Hawthorn Railway Station (Hawthorn),145.022899,1,Lilydale
19853,-37.826567,Camberwell Railway Station (Camberwell),145.058697,1,Alamein
19903,-37.822398,Auburn Railway Station (Hawthorn East),145.045844,1,Alamein
19904,-37.821467,Glenferrie Railway Station (Hawthorn),145.036439,1,Alamein
19905,-37.821826,Hawthorn Railway Station (Hawthorn),145.022899,1,Alamein
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Sunbury
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Upfield
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Werribee
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Williamstown
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Craigieburn
19943,-37.877459,Caulfield Railway Station (Caulfield East),145.042525,1,Pakenham
19943,-37.877459,Caulfield Railway Station (Caulfield East),145.042525,1,Cranbourne
19959,-37.838449,South Yarra Railway Station (South Yarra),144.992342,1,Pakenham
19959,-37.838449,South Yarra Railway Station (South Yarra),144.992342,1,Sandringham
19959,-37.838449,South Yarra Railway Station (South Yarra),144.992342,1,Cranbourne
20042,-37.819222,Box Hill Railway Station (Box Hill),145.121429,2,Belgrave
19892,-37.825894,East Camberwell Railway Station (Camberwell),145.06819,1,Belgrave
19893,-37.824485,Canterbury Railway Station (Canterbury),145.081224,"1,2",Belgrave
