Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Shop 6, 610 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Perk Up Cafe Burger Bar,-37.818609774,144.954568442
"Shop 5, 608-610 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Wonderful Garden,-37.818609774,144.954568442
"Shop 7, 608 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dumpling World,-37.818609774,144.954568442
"Lot 102, Level 1, 564 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Don Don Japanese Restaurant,-37.818244504,144.955844197
577-583 Little Collins Street MELBOURNE 3000,"Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,The Bottom End / Burger Boys,-37.817826158,144.955606299
585 Little Collins Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Pho n Roll,-37.817866889,144.955442929
"Unit 29, Ground , 601 Little Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Hugo's Expresso,-37.818028428,144.954904368
"Unit 38, Ground , 601 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Brim CC,-37.818028428,144.954904368
"Shop 5, 120 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Apna Desi Indian Restaurant & Grocery,-37.818184163,144.954364798
"Shop 9, 500 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Express Kartel,-37.817562674,144.957475816
"Shop 10, 500 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Henry & The Fox,-37.817562674,144.957475816
"Shop 6, 500 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kantina Kartel,-37.817562674,144.957475816
"Unit 15, Rear Ground , 480 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yuzu Cafe & Cuisine,-37.817650208,144.957953110
"Part Ground , 505 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,In A Rush,-37.817196621,144.957798684
18 Bank Place MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Curry Vault,-37.816429012,144.960522811
"Basement , 8 Bank Place MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Treviso,-37.816691594,144.960646042
